ID,Label,Con_Name
713,gam Cyg,CON Dien Cyg_eq
714,eta Cyg,CON Dien Cyg_eq
715,phi Cyg,CON Dien Cyg_eq
716,bet Cyg A,CON Dien Cyg_eq
717,mu. Cyg,CON Dien Cyg_eq
718,zet Cyg,CON Dien Cyg_eq
719,eps Cyg,CON Dien Cyg_eq
720,del Cyg,CON Dien Cyg_eq
721,tet Cyg,CON Dien Cyg_eq
722,omi02 Cyg,CON Dien Cyg_eq
723,ksi Cyg,CON Dien Cyg_eq
724,sig Cyg,CON Dien Cyg_eq
725,nu. Cyg,CON Dien Cyg_eq
726,rho Cyg,CON Dien Cyg_eq
727,lam Cyg,CON Dien Cyg_eq
728,39 Cyg,CON Dien Cyg_eq
729,eps Del,CON Dien Del
730,bet Del,CON Dien Del
731,alf Del,CON Dien Del
732,gam02 Del,CON Dien Del
733,del Del,CON Dien Del
734,gam Dor,CON Dien Dor
735,alf Dor,CON Dien Dor
736,bet Dor,CON Dien Dor
737,HD  81817,CON Dien Dra
738,lam Dra,CON Dien Dra
739,kap Dra,CON Dien Dra
740,alf Dra,CON Dien Dra
741,iot Dra,CON Dien Dra
742,tet Dra,CON Dien Dra
743,eta Dra,CON Dien Dra
744,zet Dra,CON Dien Dra
745,ome Dra,CON Dien Dra
746,chi Dra,CON Dien Dra
747,del Dra,CON Dien Dra
748,pi. Dra,CON Dien Dra
749,ksi Dra,CON Dien Dra
750,gam Dra,CON Dien Dra
751,bet Dra,CON Dien Dra
752,nu.02 Dra,CON Dien Dra
753,mu. Dra,CON Dien Dra
754,15 Dra,CON Dien Dra
755,i Dra,CON Dien Dra
756,alf Equ,CON Dien Equ
757,bet Equ,CON Dien Equ
758,del Equ,CON Dien Equ
759,gam Equ,CON Dien Equ
760,bet Eri,CON Dien Eri
761,nu. Eri,CON Dien Eri
762,omi01 Eri,CON Dien Eri
763,gam Eri,CON Dien Eri
764,del Eri,CON Dien Eri
765,eps Eri,CON Dien Eri
766,zet Eri,CON Dien Eri
